"non-terminals",";","IDENTIFIER",":","CASE","DEFAULT","{","}","IF","(",")","SWITCH","ELSE","WHILE","DO","FOR","GOTO","CONTINUE","BREAK","RETURN",",","?","OR_OP","AND_OP","|","^","&","EQ_OP","NE_OP","<",">","LE_OP","GE_OP","LEFT_OP","RIGHT_OP","+","-","*","/","%","INC_OP","DEC_OP","SIZEOF","~","!","[","]",".","PTR_OP","CONSTANT","STRING_LITERAL","=","TYPEDEF","EXTERN","STATIC","AUTO","REGISTER","VOID","CHAR","SHORT","INT","LONG","FLOAT","DOUBLE","SIGNED","UNSIGNED","TYPE_NAME","STRUCT","UNION","ENUM","CONST","VOLATILE","ELLIPSIS","comma_opt","MUL_ASSIGN","DIV_ASSIGN","MOD_ASSIGN","ADD_ASSIGN","SUB_ASSIGN","LEFT_ASSIGN","RIGHT_ASSIGN","AND_ASSIGN","XOR_ASSIGN","OR_ASSIGN","$",
"declaration_list","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," declaration declaration_list_tail"," declaration declaration_list_tail"," declaration declaration_list_tail"," declaration declaration_list_tail"," declaration declaration_list_tail"," declaration declaration_list_tail"," declaration declaration_list_tail"," declaration declaration_list_tail"," declaration declaration_list_tail"," declaration declaration_list_tail"," declaration declaration_list_tail"," declaration declaration_list_tail"," declaration declaration_list_tail"," declaration declaration_list_tail"," declaration declaration_list_tail"," declaration declaration_list_tail"," declaration declaration_list_tail"," declaration declaration_list_tail"," declaration declaration_list_tail"," declaration declaration_list_tail","error","error","error","error","error","error","error","error","error","error","error","error","error",
"statement_list","error"," statement statement_list_tail","error"," statement statement_list_tail"," statement statement_list_tail"," statement statement_list_tail"," statement statement_list_tail"," statement statement_list_tail"," statement statement_list_tail","error"," statement statement_list_tail","error"," statement statement_list_tail"," statement statement_list_tail"," statement statement_list_tail"," statement statement_list_tail"," statement statement_list_tail"," statement statement_list_tail"," statement statement_list_tail","error","error","error","error","error","error"," statement statement_list_tail","error","error","error","error","error","error","error","error"," statement statement_list_tail"," statement statement_list_tail"," statement statement_list_tail","error","error"," statement statement_list_tail"," statement statement_list_tail"," statement statement_list_tail"," statement statement_list_tail"," statement statement_list_tail","error","error","error","error"," statement statement_list_tail"," statement statement_list_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"declaration","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," declaration_specifiers init_declarator_list_opt ;"," declaration_specifiers init_declarator_list_opt ;"," declaration_specifiers init_declarator_list_opt ;"," declaration_specifiers init_declarator_list_opt ;"," declaration_specifiers init_declarator_list_opt ;"," declaration_specifiers init_declarator_list_opt ;"," declaration_specifiers init_declarator_list_opt ;"," declaration_specifiers init_declarator_list_opt ;"," declaration_specifiers init_declarator_list_opt ;"," declaration_specifiers init_declarator_list_opt ;"," declaration_specifiers init_declarator_list_opt ;"," declaration_specifiers init_declarator_list_opt ;"," declaration_specifiers init_declarator_list_opt ;"," declaration_specifiers init_declarator_list_opt ;"," declaration_specifiers init_declarator_list_opt ;"," declaration_specifiers init_declarator_list_opt ;"," declaration_specifiers init_declarator_list_opt ;"," declaration_specifiers init_declarator_list_opt ;"," declaration_specifiers init_declarator_list_opt ;"," declaration_specifiers init_declarator_list_opt ;","error","error","error","error","error","error","error","error","error","error","error","error","error",
"declaration_list_tail","error","error","error","error","error"," epsilon"," epsilon","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," declaration declaration_list_tail"," declaration declaration_list_tail"," declaration declaration_list_tail"," declaration declaration_list_tail"," declaration declaration_list_tail"," declaration declaration_list_tail"," declaration declaration_list_tail"," declaration declaration_list_tail"," declaration declaration_list_tail"," declaration declaration_list_tail"," declaration declaration_list_tail"," declaration declaration_list_tail"," declaration declaration_list_tail"," declaration declaration_list_tail"," declaration declaration_list_tail"," declaration declaration_list_tail"," declaration declaration_list_tail"," declaration declaration_list_tail"," declaration declaration_list_tail"," declaration declaration_list_tail","error","error","error","error","error","error","error","error","error","error","error","error","error",
"statement_list_tail","error"," statement statement_list_tail","error"," statement statement_list_tail"," statement statement_list_tail"," statement statement_list_tail"," statement statement_list_tail"," statement statement_list_tail"," statement statement_list_tail","error"," statement statement_list_tail","error"," statement statement_list_tail"," statement statement_list_tail"," statement statement_list_tail"," statement statement_list_tail"," statement statement_list_tail"," statement statement_list_tail"," statement statement_list_tail","error","error","error","error","error","error"," statement statement_list_tail","error","error","error","error","error","error","error","error"," statement statement_list_tail"," statement statement_list_tail"," statement statement_list_tail","error","error"," statement statement_list_tail"," statement statement_list_tail"," statement statement_list_tail"," statement statement_list_tail"," statement statement_list_tail","error","error","error","error"," statement statement_list_tail"," statement statement_list_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"expression_opt"," epsilon"," expression","error"," epsilon"," epsilon"," epsilon","error"," epsilon"," expression"," epsilon"," epsilon","error"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon","error","error","error","error","error","error"," expression","error","error","error","error","error","error","error","error"," expression"," expression"," expression","error","error"," expression"," expression"," expression"," expression"," expression","error","error","error","error"," expression"," expression","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"expression","error"," assignment_expression expression_tail","error","error","error","error","error","error"," assignment_expression expression_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," assignment_expression expression_tail","error","error","error","error","error","error","error","error"," assignment_expression expression_tail"," assignment_expression expression_tail"," assignment_expression expression_tail","error","error"," assignment_expression expression_tail"," assignment_expression expression_tail"," assignment_expression expression_tail"," assignment_expression expression_tail"," assignment_expression expression_tail","error","error","error","error"," assignment_expression expression_tail"," assignment_expression expression_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"else_opt"," epsilon"," epsilon","error","error","error","error"," epsilon","error"," epsilon"," epsilon","error"," ELSE statement"," epsilon","error","error","error","error","error","error","error","error","error","error","error","error"," epsilon","error","error","error","error","error","error","error","error"," epsilon"," epsilon"," epsilon","error","error"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon","error","error","error","error"," epsilon"," epsilon","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"assignment_expression","error"," conditional_expression assignment_tail","error","error","error","error","error","error"," conditional_expression assignment_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," conditional_expression assignment_tail","error","error","error","error","error","error","error","error"," conditional_expression assignment_tail"," conditional_expression assignment_tail"," conditional_expression assignment_tail","error","error"," conditional_expression assignment_tail"," conditional_expression assignment_tail"," conditional_expression assignment_tail"," conditional_expression assignment_tail"," conditional_expression assignment_tail","error","error","error","error"," conditional_expression assignment_tail"," conditional_expression assignment_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"expression_tail"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon","error"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," , assignment_expression expression_tail","error","error","error","error","error"," epsilon","error","error","error","error","error","error","error","error"," epsilon"," epsilon"," epsilon","error","error"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"conditional_expression","error"," logical_or_expression conditional_tail","error","error","error","error","error","error"," logical_or_expression conditional_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," logical_or_expression conditional_tail","error","error","error","error","error","error","error","error"," logical_or_expression conditional_tail"," logical_or_expression conditional_tail"," logical_or_expression conditional_tail","error","error"," logical_or_expression conditional_tail"," logical_or_expression conditional_tail"," logical_or_expression conditional_tail"," logical_or_expression conditional_tail"," logical_or_expression conditional_tail","error","error","error","error"," logical_or_expression conditional_tail"," logical_or_expression conditional_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"assignment_tail"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon","error"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon","error","error","error","error","error"," epsilon","error","error","error","error","error","error","error","error"," epsilon"," epsilon"," epsilon","error","error"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," assignment_operator assignment_expression","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," assignment_operator assignment_expression"," assignment_operator assignment_expression"," assignment_operator assignment_expression"," assignment_operator assignment_expression"," assignment_operator assignment_expression"," assignment_operator assignment_expression"," assignment_operator assignment_expression"," assignment_operator assignment_expression"," assignment_operator assignment_expression"," assignment_operator assignment_expression","error",
"assignment_operator","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," =","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," MUL_ASSIGN"," DIV_ASSIGN"," MOD_ASSIGN"," ADD_ASSIGN"," SUB_ASSIGN"," LEFT_ASSIGN"," RIGHT_ASSIGN"," AND_ASSIGN"," XOR_ASSIGN"," OR_ASSIGN","error",
"logical_or_expression","error"," logical_and_expression logical_or_tail","error","error","error","error","error","error"," logical_and_expression logical_or_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," logical_and_expression logical_or_tail","error","error","error","error","error","error","error","error"," logical_and_expression logical_or_tail"," logical_and_expression logical_or_tail"," logical_and_expression logical_or_tail","error","error"," logical_and_expression logical_or_tail"," logical_and_expression logical_or_tail"," logical_and_expression logical_or_tail"," logical_and_expression logical_or_tail"," logical_and_expression logical_or_tail","error","error","error","error"," logical_and_expression logical_or_tail"," logical_and_expression logical_or_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"conditional_tail"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," ? expression : conditional_expression","error","error","error","error"," epsilon","error","error","error","error","error","error","error","error"," epsilon"," epsilon"," epsilon","error","error"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon","error",
"logical_and_expression","error"," inclusive_or_expression logical_and_tail","error","error","error","error","error","error"," inclusive_or_expression logical_and_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," inclusive_or_expression logical_and_tail","error","error","error","error","error","error","error","error"," inclusive_or_expression logical_and_tail"," inclusive_or_expression logical_and_tail"," inclusive_or_expression logical_and_tail","error","error"," inclusive_or_expression logical_and_tail"," inclusive_or_expression logical_and_tail"," inclusive_or_expression logical_and_tail"," inclusive_or_expression logical_and_tail"," inclusive_or_expression logical_and_tail","error","error","error","error"," inclusive_or_expression logical_and_tail"," inclusive_or_expression logical_and_tail","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error",
"logical_or_tail"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," OR_OP logical_and_expression logical_or_tail","error","error","error"," epsilon","error","error","error","error","error","error","error","error"," epsilon"," epsilon"," epsilon","error","error"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon"," epsilon","error",
